date,purchases,unique_invoices,unique_users,unique_streams,total_views,year_month,revenue
2018-03-19,1462,99,462,866,7552,2018-03,6293.400000000001
2018-03-20,1265,76,228,736,6213,2018-03,52280.04000000001
2018-03-21,1391,102,354,804,7029,2018-03,6807.48
2018-03-22,1692,100,323,885,8640,2018-03,18308.93
2018-03-23,1186,74,359,784,5995,2018-03,4234.21
2018-03-24,0,0,0,0,0,2018-03,0.0
2018-03-25,1838,60,56,904,9368,2018-03,4761.23
2018-03-26,1968,94,733,1028,9488,2018-03,8582.630000000001
2018-03-27,1799,103,548,989,9317,2018-03,7089.400000000001
2018-03-28,1890,85,575,954,8976,2018-03,7832.74
2018-03-29,1525,105,325,883,7777,2018-03,6173.91
2018-03-30,0,0,0,0,0,2018-03,0.0
2018-03-31,0,0,0,0,0,2018-03,0.0
2018-04-01,0,0,0,0,0,2018-04,0.0
2018-04-02,0,0,0,0,0,2018-04,0.0
2018-04-03,1092,66,227,694,5547,2018-04,3815.88
2018-04-04,1273,63,343,806,6649,2018-04,4675.700000000001
2018-04-05,1963,92,553,1003,10736,2018-04,7155.57
2018-04-06,795,52,228,545,4327,2018-04,3124.43
2018-04-07,0,0,0,0,0,2018-04,0.0
2018-04-08,1030,41,38,625,5379,2018-04,2992.37
2018-04-09,859,76,69,550,5430,2018-04,2668.1600000000003
2018-04-10,1236,86,114,729,5945,2018-04,4001.2200000000003
2018-04-11,986,58,56,577,6374,2018-04,3009.92
2018-04-12,1135,87,103,648,7243,2018-04,24186.760000000002
2018-04-13,743,43,48,528,4618,2018-04,2220.37
2018-04-14,0,0,0,0,0,2018-04,0.0
2018-04-15,1380,49,40,732,5849,2018-04,4765.13
2018-04-16,3002,79,2002,1222,10716,2018-04,15214.32
2018-04-17,1444,73,340,801,7331,2018-04,13570.100000000002
2018-04-18,1045,72,219,664,5592,2018-04,3978.9
2018-04-19,1403,121,311,768,8763,2018-04,16626.53
2018-04-20,1126,66,255,658,6472,2018-04,5757.71
2018-04-21,0,0,0,0,0,2018-04,0.0
2018-04-22,1263,48,42,700,5678,2018-04,4104.5
2018-04-23,1788,113,565,896,7749,2018-04,7792.66
2018-04-24,1642,103,344,835,10822,2018-04,5421.8
2018-04-25,1633,72,257,860,9976,2018-04,5386.820000000001
2018-04-26,1874,98,412,987,9783,2018-04,-45645.329
2018-04-27,1165,89,397,707,5409,2018-04,5924.339999999999
2018-04-28,0,0,0,0,0,2018-04,0.0
2018-04-29,789,40,38,505,4096,2018-04,2458.2700000000004
2018-04-30,0,0,0,0,0,2018-04,0.0
2018-05-01,1292,89,479,756,6230,2018-05,6558.59
2018-05-02,1505,112,523,804,7223,2018-05,6829.63
2018-05-03,1571,111,445,842,7929,2018-05,5986.120000000001
2018-05-04,1318,86,214,800,9096,2018-05,4065.4000000000005
2018-05-05,0,0,0,0,0,2018-05,0.0
2018-05-06,1584,60,51,832,7027,2018-05,4560.4400000000005
2018-05-07,1499,113,404,869,8178,2018-05,7791.990000000001
2018-05-08,1614,174,505,952,9081,2018-05,5861.5
2018-05-09,1194,124,254,768,6764,2018-05,4279.07
2018-05-10,1304,88,277,748,6709,2018-05,5160.639999999999
2018-05-11,939,101,266,588,4712,2018-05,3824.120000000001
2018-05-12,0,0,0,0,0,2018-05,0.0
2018-05-13,1470,45,36,825,5261,2018-05,4511.38
2018-05-14,1403,143,338,823,7092,2018-05,4783.37
2018-05-15,1485,87,358,816,6550,2018-05,5745.87
2018-05-16,1213,76,174,716,6033,2018-05,4344.93
2018-05-17,1549,83,80,824,8774,2018-05,6271.67
2018-05-18,1166,115,601,768,4471,2018-05,5391.969999999999
2018-05-19,0,0,0,0,0,2018-05,0.0
2018-05-20,1221,50,56,621,6502,2018-05,4210.04
2018-05-21,1302,92,284,732,8853,2018-05,5204.120000000001
2018-05-22,1343,149,338,781,7018,2018-05,4746.97
2018-05-23,1540,108,648,785,7472,2018-05,7613.980000000001
2018-05-24,2027,98,295,934,11086,2018-05,6246.21
2018-05-25,1245,95,371,734,6502,2018-05,5509.610000000001
2018-05-26,0,0,0,0,0,2018-05,0.0
2018-05-27,804,35,40,567,3529,2018-05,2380.03
2018-05-28,0,0,0,0,0,2018-05,0.0
2018-05-29,1190,51,340,753,5513,2018-05,4108.38
2018-05-30,944,51,321,675,4196,2018-05,3566.19
2018-05-31,1520,103,388,905,7061,2018-05,6883.139999999999
2018-06-01,1415,137,1009,872,4896,2018-06,7321.8
2018-06-02,0,0,0,0,0,2018-06,0.0
2018-06-03,2168,74,61,966,9717,2018-06,6899.4
2018-06-04,2523,112,461,1135,11491,2018-06,9096.92
2018-06-05,2070,117,551,1060,9128,2018-06,12488.35
2018-06-06,1398,91,306,776,8195,2018-06,4472.8099999999995
2018-06-07,1018,94,84,588,5921,2018-06,4289.950000000001
2018-06-08,1651,97,425,886,8868,2018-06,14499.6
2018-06-09,0,0,0,0,0,2018-06,0.0
2018-06-10,1423,75,77,817,6985,2018-06,4625.929999999999
2018-06-11,1457,69,450,871,6425,2018-06,4963.16
2018-06-12,1415,76,490,829,7422,2018-06,7162.92
2018-06-13,1771,90,273,944,9757,2018-06,5965.740000000001
2018-06-14,1627,94,258,791,8007,2018-06,73158.45
2018-06-15,894,64,201,576,4643,2018-06,3865.3200000000006
2018-06-16,0,0,0,0,0,2018-06,0.0
2018-06-17,423,25,24,322,1927,2018-06,1507.03
2018-06-18,1773,51,394,1001,8328,2018-06,5770.82
2018-06-19,908,39,317,621,4422,2018-06,3696.0299999999997
2018-06-20,1068,63,444,700,6070,2018-06,3835.2700000000004
2018-06-21,1385,109,673,704,5823,2018-06,9255.04
2018-06-22,1164,50,579,771,5577,2018-06,5369.15
2018-06-23,0,0,0,0,0,2018-06,0.0
2018-06-24,1283,62,52,757,5699,2018-06,4149.530000000001
2018-06-25,1517,67,396,819,7847,2018-06,5556.59
2018-06-26,1447,76,398,844,8526,2018-06,5379.12
2018-06-27,1665,131,462,879,8367,2018-06,6374.78
2018-06-28,1660,91,218,858,9853,2018-06,5728.96
2018-06-29,818,48,52,510,4463,2018-06,2416.83
2018-06-30,0,0,0,0,0,2018-06,0.0
2018-07-01,680,22,20,463,2640,2018-07,2285.55
2018-07-02,1778,117,279,735,10078,2018-07,5926.14
2018-07-03,1007,55,424,641,5333,2018-07,4167.83
2018-07-04,1572,92,686,875,7095,2018-07,9593.01
2018-07-05,1230,90,105,759,6897,2018-07,3953.58
2018-07-06,798,49,435,563,3621,2018-07,3530.9700000000003
2018-07-07,0,0,0,0,0,2018-07,0.0
2018-07-08,708,29,70,497,2533,2018-07,2040.46
2018-07-09,1142,63,340,707,5215,2018-07,5161.58
2018-07-10,1027,59,345,691,4308,2018-07,4329.04
2018-07-11,1244,98,379,754,5558,2018-07,4899.679999999999
2018-07-12,1522,98,169,826,8893,2018-07,10234.439999999999
2018-07-13,1125,123,303,727,6667,2018-07,4074.79
2018-07-14,0,0,0,0,0,2018-07,0.0
2018-07-15,830,41,36,562,4149,2018-07,2810.9700000000003
2018-07-16,1328,60,288,749,7715,2018-07,-39092.1
2018-07-17,1113,61,245,645,6516,2018-07,4013.72
2018-07-18,1190,78,374,718,6516,2018-07,5547.929999999999
2018-07-19,1579,101,512,813,7312,2018-07,7264.98
2018-07-20,933,50,211,627,5272,2018-07,3171.25
2018-07-21,0,0,0,0,0,2018-07,0.0
2018-07-22,1223,52,46,724,6846,2018-07,3845.73
2018-07-23,1431,68,440,787,7984,2018-07,5606.49
2018-07-24,844,76,73,588,5600,2018-07,3060.29
2018-07-25,1253,82,76,698,7820,2018-07,3920.21
2018-07-26,1846,93,517,899,8248,2018-07,11075.989999999998
2018-07-27,701,63,178,486,4246,2018-07,2958.21
2018-07-28,0,0,0,0,0,2018-07,0.0
2018-07-29,886,39,30,583,4113,2018-07,2734.49
2018-07-30,1174,70,180,693,6838,2018-07,6417.4400000000005
2018-07-31,1459,80,502,841,6591,2018-07,7927.74
2018-08-01,1357,61,430,837,7307,2018-08,6084.15
2018-08-02,1263,69,93,724,7491,2018-08,3341.31
2018-08-03,533,56,117,393,4064,2018-08,1803.5900000000001
2018-08-04,0,0,0,0,0,2018-08,0.0
2018-08-05,889,46,41,566,4456,2018-08,2509.7200000000003
2018-08-06,783,70,74,550,4956,2018-08,2315.15
2018-08-07,1656,52,848,915,5995,2018-08,7307.75
2018-08-08,985,47,342,629,4611,2018-08,5391.6
2018-08-09,1819,155,394,944,9584,2018-08,8194.369999999999
2018-08-10,1465,100,718,783,7773,2018-08,5729.450000000001
2018-08-11,0,0,0,0,0,2018-08,0.0
2018-08-12,990,59,50,572,5663,2018-08,2922.74
2018-08-13,898,70,331,628,4804,2018-08,3474.54
2018-08-14,884,63,196,604,5966,2018-08,2946.21
2018-08-15,1525,59,285,932,7881,2018-08,5058.83
2018-08-16,1365,75,280,746,7232,2018-08,5068.49
2018-08-17,1073,53,313,717,6235,2018-08,3791.41
2018-08-18,0,0,0,0,0,2018-08,0.0
2018-08-19,1279,59,49,737,7768,2018-08,3751.31
2018-08-20,1030,56,194,657,6681,2018-08,3185.6600000000003
2018-08-21,1086,68,148,677,7189,2018-08,3480.68
2018-08-22,1546,98,255,840,9267,2018-08,5987.0599999999995
2018-08-23,1528,93,401,806,8578,2018-08,6807.259999999999
2018-08-24,918,46,425,611,4261,2018-08,26392.429999999997
2018-08-25,0,0,0,0,0,2018-08,0.0
2018-08-26,812,40,36,484,5043,2018-08,2302.29
2018-08-27,0,0,0,0,0,2018-08,0.0
2018-08-28,1558,61,669,867,7044,2018-08,6222.34
2018-08-29,769,68,358,544,3569,2018-08,3402.73
2018-08-30,1443,84,405,818,8327,2018-08,4576.02
2018-08-31,995,72,323,638,5395,2018-08,3845.19
2018-09-01,0,0,0,0,0,2018-09,0.0
2018-09-02,720,32,31,473,3797,2018-09,2013.3200000000002
2018-09-03,1333,60,531,779,5595,2018-09,5691.49
2018-09-04,1048,50,366,683,5889,2018-09,3718.6499999999996
2018-09-05,990,56,168,645,5739,2018-09,3307.4700000000003
2018-09-06,1335,90,219,801,6818,2018-09,6463.58
2018-09-07,968,47,225,607,5434,2018-09,3633.26
2018-09-08,0,0,0,0,0,2018-09,0.0
2018-09-09,1245,47,44,699,5808,2018-09,3639.83
2018-09-10,1917,102,653,976,8971,2018-09,7615.53
2018-09-11,1179,57,199,728,6640,2018-09,3682.25
2018-09-12,1183,83,171,745,6881,2018-09,3691.05
2018-09-13,1445,109,92,825,7790,2018-09,30369.511000000006
2018-09-14,1015,76,237,669,5619,2018-09,4271.09
2018-09-15,0,0,0,0,0,2018-09,0.0
2018-09-16,1958,59,78,976,8958,2018-09,4999.02
2018-09-17,1638,88,496,917,9056,2018-09,8397.07
2018-09-18,2204,130,504,978,14822,2018-09,6889.42
2018-09-19,1403,96,391,663,8147,2018-09,5368.54
2018-09-20,1920,95,267,933,12438,2018-09,5572.23
2018-09-21,1362,80,283,758,7638,2018-09,9160.96
2018-09-22,0,0,0,0,0,2018-09,0.0
2018-09-23,1459,74,69,755,8364,2018-09,4197.75
2018-09-24,2035,97,514,983,13246,2018-09,38898.729999999996
2018-09-25,2598,163,770,1166,14689,2018-09,9947.07
2018-09-26,1838,121,326,964,12257,2018-09,6030.540000000001
2018-09-27,1822,107,426,916,11802,2018-09,14005.46
2018-09-28,1567,74,393,875,8133,2018-09,6509.780000000001
2018-09-29,0,0,0,0,0,2018-09,0.0
2018-09-30,1994,81,97,896,9763,2018-09,6550.34
2018-10-01,1946,90,591,969,12207,2018-10,6847.39
2018-10-02,2610,194,425,1148,17363,2018-10,62415.03999999999
2018-10-03,1166,67,98,688,8900,2018-10,3808.96
2018-10-04,3415,153,838,1316,16872,2018-10,13757.24
2018-10-05,1886,89,542,984,10814,2018-10,6897.490000000001
2018-10-06,0,0,0,0,0,2018-10,0.0
2018-10-07,1614,67,57,845,7943,2018-10,4999.61
2018-10-08,2255,116,543,1084,12162,2018-10,6959.240000000001
2018-10-09,2324,135,562,1117,13713,2018-10,7848.46
2018-10-10,1881,90,281,961,10291,2018-10,14631.130000000001
2018-10-11,1729,109,127,935,11660,2018-10,6145.030000000001
2018-10-12,2147,129,623,1038,11767,2018-10,28363.950000000004
2018-10-13,0,0,0,0,0,2018-10,0.0
2018-10-14,2682,79,63,1117,12395,2018-10,7332.47
2018-10-15,2700,168,792,1214,11695,2018-10,10600.189999999999
2018-10-16,2104,87,559,1059,10639,2018-10,8188.14
2018-10-17,2417,113,350,1078,12716,2018-10,-29762.210000000006
2018-10-18,1907,102,283,1007,10030,2018-10,7169.76
2018-10-19,2051,128,662,1084,9206,2018-10,9013.59
2018-10-20,0,0,0,0,0,2018-10,0.0
2018-10-21,2259,82,72,1008,10622,2018-10,6688.93
2018-10-22,1832,98,294,989,9152,2018-10,5546.13
2018-10-23,2125,116,557,1045,11526,2018-10,6853.3
2018-10-24,1518,70,326,860,7401,2018-10,5263.74
2018-10-25,1448,103,492,855,6689,2018-10,6409.16
2018-10-26,1748,84,615,929,10241,2018-10,6381.700000000001
2018-10-27,0,0,0,0,0,2018-10,0.0
2018-10-28,2621,85,81,1130,11488,2018-10,7288.900000000001
2018-10-29,2135,101,878,1131,9042,2018-10,9301.79
2018-10-30,2169,165,429,1067,11526,2018-10,7548.5
2018-10-31,1847,132,415,1002,8822,2018-10,6519.370000000001
2018-11-01,3614,207,775,1385,18102,2018-11,13237.57
2018-11-02,1596,124,502,968,7708,2018-11,6208.85
2018-11-03,0,0,0,0,0,2018-11,0.0
2018-11-04,2742,86,98,1086,13217,2018-11,7408.070000000001
2018-11-05,2447,112,946,1205,11872,2018-11,22800.790999999997
2018-11-06,2687,140,369,1068,14712,2018-11,11268.44
2018-11-07,3406,141,953,1440,15142,2018-11,11903.62
2018-11-08,3121,185,634,1266,15701,2018-11,12084.88
2018-11-09,2792,105,1370,1236,11345,2018-11,11694.250000000002
2018-11-10,0,0,0,0,0,2018-11,0.0
2018-11-11,2849,91,237,1211,10698,2018-11,8128.599999999999
2018-11-12,3423,122,1365,1351,13987,2018-11,13073.92
2018-11-13,2917,137,736,1297,14961,2018-11,9902.54
2018-11-14,2779,124,703,1264,13869,2018-11,10694.721000000001
2018-11-15,2767,110,923,1194,12867,2018-11,10349.54
2018-11-16,2270,128,443,1072,10709,2018-11,8210.9
2018-11-17,0,0,0,0,0,2018-11,0.0
2018-11-18,3118,92,82,1255,13237,2018-11,8270.470000000001
2018-11-19,3005,96,1375,1283,11968,2018-11,11934.310000000001
2018-11-20,3364,160,1027,1353,16559,2018-11,13055.55
2018-11-21,3313,181,1151,1324,14719,2018-11,13489.87
2018-11-22,3453,177,634,1237,18331,2018-11,11494.19
2018-11-23,2241,86,783,1087,10167,2018-11,8913.59
2018-11-24,0,0,0,0,0,2018-11,0.0
2018-11-25,2526,101,81,1109,9368,2018-11,7556.879999999999
2018-11-26,3665,112,1461,1480,15547,2018-11,15412.48
2018-11-27,2192,157,293,927,13301,2018-11,7165.05
2018-11-28,5898,135,2371,1326,24644,2018-11,24856.160000000003
2018-11-29,4188,163,243,933,26123,2018-11,13504.96
2018-11-30,4022,94,2190,1111,15815,2018-11,20626.02
2018-12-01,0,0,0,0,0,2018-12,0.0
2018-12-02,4986,86,72,1088,18131,2018-12,14212.140000000001
2018-12-03,7638,126,3893,1473,28444,2018-12,34715.9
2018-12-04,5708,107,3726,1276,21601,2018-12,169539.62
2018-12-05,4984,141,1357,1202,24566,2018-12,19080.82
2018-12-06,5270,167,2245,1248,21446,2018-12,27164.940000000002
2018-12-07,2629,86,1359,1243,10594,2018-12,12300.3
2018-12-08,0,0,0,0,0,2018-12,0.0
2018-12-09,1403,50,44,767,5052,2018-12,3874.27
2018-12-10,2257,80,1058,1166,10550,2018-12,12253.779999999999
2018-12-11,1995,138,491,993,10770,2018-12,8027.2300000000005
2018-12-12,1273,94,101,728,8364,2018-12,4661.81
2018-12-13,1746,143,197,923,12139,2018-12,5808.610000000001
2018-12-14,2816,52,2390,1308,7583,2018-12,16826.45
2018-12-15,0,0,0,0,0,2018-12,0.0
2018-12-16,480,23,39,361,2172,2018-12,1454.1800000000003
2018-12-17,1593,87,901,906,6083,2018-12,7545.17
2018-12-18,1466,60,1194,780,4311,2018-12,11841.35
2018-12-19,250,20,85,212,1284,2018-12,1908.67
2018-12-20,870,33,628,733,3375,2018-12,3570.7999999999997
2018-12-21,0,0,0,0,0,2018-12,0.0
2018-12-22,0,0,0,0,0,2018-12,0.0
2018-12-23,0,0,0,0,0,2018-12,0.0
2018-12-24,0,0,0,0,0,2018-12,0.0
2018-12-25,0,0,0,0,0,2018-12,0.0
2018-12-26,0,0,0,0,0,2018-12,0.0
2018-12-27,0,0,0,0,0,2018-12,0.0
2018-12-28,0,0,0,0,0,2018-12,0.0
2018-12-29,0,0,0,0,0,2018-12,0.0
2018-12-30,0,0,0,0,0,2018-12,0.0
2018-12-31,0,0,0,0,0,2018-12,0.0
2019-01-01,1170,55,461,828,5472,2019-01,4228.52
2019-01-02,1628,65,671,974,7723,2019-01,38781.340000000004
2019-01-03,1728,69,565,985,9301,2019-01,6472.18
2019-01-04,1431,51,735,902,7343,2019-01,4793.460000000001
2019-01-05,0,0,0,0,0,2019-01,0.0
2019-01-06,1043,47,44,613,5262,2019-01,3265.84
2019-01-07,1795,53,1191,1038,7737,2019-01,7129.170000000001
2019-01-08,1361,76,618,928,7034,2019-01,4894.3099999999995
2019-01-09,1687,54,925,1040,6719,2019-01,6943.4400000000005
2019-01-10,1368,49,753,918,6158,2019-01,5419.42
2019-01-11,1264,47,731,828,5770,2019-01,5904.01
2019-01-12,0,0,0,0,0,2019-01,0.0
2019-01-13,646,29,22,424,2583,2019-01,1854.5
2019-01-14,2416,50,1634,1157,9277,2019-01,9302.67
2019-01-15,1362,47,940,857,4238,2019-01,6132.52
2019-01-16,1186,35,485,875,5335,2019-01,4142.04
2019-01-17,1390,47,822,923,5804,2019-01,7793.72
2019-01-18,1462,59,892,945,6296,2019-01,6388.74
2019-01-19,0,0,0,0,0,2019-01,0.0
2019-01-20,867,29,26,565,3515,2019-01,2551.5600000000004
2019-01-21,1279,53,694,765,5623,2019-01,5831.54
2019-01-22,1489,76,464,841,7725,2019-01,6002.110000000001
2019-01-23,1088,65,316,692,4999,2019-01,4654.76
2019-01-24,1335,77,256,795,7195,2019-01,4693.88
2019-01-25,871,93,342,598,4727,2019-01,3465.6400000000003
2019-01-26,0,0,0,0,0,2019-01,0.0
2019-01-27,722,25,22,488,2934,2019-01,2321.7200000000003
2019-01-28,1312,76,528,769,5712,2019-01,5485.02
2019-01-29,1445,77,368,819,7299,2019-01,5015.74
2019-01-30,1355,67,458,783,6209,2019-01,5740.0
2019-01-31,863,45,171,540,4802,2019-01,3151.92
2019-02-01,1080,68,526,677,5191,2019-02,5757.7
2019-02-02,0,0,0,0,0,2019-02,0.0
2019-02-03,279,11,11,220,1209,2019-02,799.45
2019-02-04,1142,46,312,764,5214,2019-02,4376.7699999999995
2019-02-05,1163,50,622,742,4998,2019-02,5386.59
2019-02-06,746,26,457,533,2852,2019-02,3985.7599999999998
2019-02-07,750,63,116,515,4331,2019-02,3358.2200000000003
2019-02-08,882,90,408,624,4443,2019-02,5277.92
2019-02-09,0,0,0,0,0,2019-02,0.0
2019-02-10,624,24,21,430,2154,2019-02,1859.3600000000001
2019-02-11,909,47,388,642,4308,2019-02,3763.7599999999998
2019-02-12,1111,64,322,728,5866,2019-02,6739.75
2019-02-13,1050,63,235,627,6671,2019-02,3541.76
2019-02-14,1608,66,699,847,7691,2019-02,7366.910000000001
2019-02-15,766,59,268,552,4408,2019-02,2785.3199999999997
2019-02-16,0,0,0,0,0,2019-02,0.0
2019-02-17,864,29,26,595,3472,2019-02,2721.29
2019-02-18,1102,45,443,715,4973,2019-02,15973.820000000003
2019-02-19,1546,61,474,890,8100,2019-02,5502.54
